QualifiedName,ModifiedName,CBO,DIT,WMC,LCOM,LOC
org.apache.pdfbox.contentstream.operator.state.Restore,org/apache/pdfbox/contentstream/operator/state/Restore.java-2.0.31,0,1,0,0,230
org.apache.pdfbox.contentstream.operator.state.Save,org/apache/pdfbox/contentstream/operator/state/Save.java-2.0.31,0,1,0,0,13
org.apache.pdfbox.contentstream.operator.state.SetFlatness,org/apache/pdfbox/contentstream/operator/state/SetFlatness.java-2.0.31,0,1,0,0,15
org.apache.pdfbox.contentstream.operator.state.SetGraphicsStateParameters,org/apache/pdfbox/contentstream/operator/state/SetGraphicsStateParameters.java-2.0.31,1,1,0,0,71
org.apache.pdfbox.contentstream.operator.state.SetLineCapStyle,org/apache/pdfbox/contentstream/operator/state/SetLineCapStyle.java-2.0.31,0,1,0,0,131
org.apache.pdfbox.contentstream.operator.state.SetLineDashPattern,org/apache/pdfbox/contentstream/operator/state/SetLineDashPattern.java-2.0.31,1,1,0,0,232
org.apache.pdfbox.contentstream.operator.state.SetLineJoinStyle,org/apache/pdfbox/contentstream/operator/state/SetLineJoinStyle.java-2.0.31,0,1,0,0,18
org.apache.pdfbox.contentstream.operator.state.SetLineMiterLimit,org/apache/pdfbox/contentstream/operator/state/SetLineMiterLimit.java-2.0.31,0,1,0,0,30
org.apache.pdfbox.contentstream.operator.state.SetLineWidth,org/apache/pdfbox/contentstream/operator/state/SetLineWidth.java-2.0.31,0,1,0,0,71
org.apache.pdfbox.contentstream.operator.state.SetMatrix,org/apache/pdfbox/contentstream/operator/state/SetMatrix.java-2.0.31,0,1,0,0,113
org.apache.pdfbox.contentstream.operator.state.SetRenderingIntent,org/apache/pdfbox/contentstream/operator/state/SetRenderingIntent.java-2.0.31,0,1,0,0,235
org.apache.pdfbox.contentstream.operator.text.BeginText,org/apache/pdfbox/contentstream/operator/text/BeginText.java-2.0.31,0,1,0,0,238
org.apache.pdfbox.contentstream.operator.text.EndText,org/apache/pdfbox/contentstream/operator/text/EndText.java-2.0.31,0,1,0,0,12
org.apache.pdfbox.contentstream.operator.text.MoveText,org/apache/pdfbox/contentstream/operator/text/MoveText.java-2.0.31,1,1,0,0,21
