QualifiedName,ModifiedName,CBO,DIT,WMC,LOC,LCOM
org.apache.pdfbox.contentstream.PDFGraphicsStreamEngine,org/apache/pdfbox/contentstream/PDFGraphicsStreamEngine.java-2.0.26,68,1,13,87,0
org.apache.pdfbox.contentstream.PDFStreamEngine,org/apache/pdfbox/contentstream/PDFStreamEngine.java-2.0.26,32,0,82,382,0.844
org.apache.pdfbox.contentstream.operator.DrawObject,org/apache/pdfbox/contentstream/operator/DrawObject.java-2.0.26,1,1,0,28,0
org.apache.pdfbox.contentstream.operator.MissingOperandException,org/apache/pdfbox/contentstream/operator/MissingOperandException.java-2.0.26,0,0,0,3,0
org.apache.pdfbox.contentstream.operator.Operator,org/apache/pdfbox/contentstream/operator/Operator.java-2.0.26,1,0,4,34,0.667
org.apache.pdfbox.contentstream.operator.OperatorName,org/apache/pdfbox/contentstream/operator/OperatorName.java-2.0.26,0,0,1,75,0
org.apache.pdfbox.contentstream.operator.OperatorProcessor,org/apache/pdfbox/contentstream/operator/OperatorProcessor.java-2.0.26,1,0,3,14,0
org.apache.pdfbox.contentstream.operator.color.SetColor,org/apache/pdfbox/contentstream/operator/color/SetColor.java-2.0.26,2,1,3,15,0
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColor,org/apache/pdfbox/contentstream/operator/color/SetNonStrokingColor.java-2.0.26,4,2,3,13,0
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColorN,org/apache/pdfbox/contentstream/operator/color/SetNonStrokingColorN.java-2.0.26,0,3,0,4,0
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColorSpace,org/apache/pdfbox/contentstream/operator/color/SetNonStrokingColorSpace.java-2.0.26,0,1,0,14,0
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceCMYKColor,org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceCMYKColor.java-2.0.26,0,3,0,9,0
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceGrayColor,org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceGrayColor.java-2.0.26,0,3,0,9,0
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceRGBColor,org/apache/pdfbox/contentstream/operator/color/SetNonStrokingDeviceRGBColor.java-2.0.26,0,3,0,9,0
org.apache.pdfbox.contentstream.operator.color.SetStrokingColor,org/apache/pdfbox/contentstream/operator/color/SetStrokingColor.java-2.0.26,4,2,3,13,0
org.apache.pdfbox.contentstream.operator.color.SetStrokingColorN,org/apache/pdfbox/contentstream/operator/color/SetStrokingColorN.java-2.0.26,0,3,0,4,0
org.apache.pdfbox.contentstream.operator.color.SetStrokingColorSpace,org/apache/pdfbox/contentstream/operator/color/SetStrokingColorSpace.java-2.0.26,0,1,0,14,0
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceCMYKColor,org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceCMYKColor.java-2.0.26,0,3,0,9,0
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceGrayColor,org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceGrayColor.java-2.0.26,0,3,0,8,0
org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceRGBColor,org/apache/pdfbox/contentstream/operator/color/SetStrokingDeviceRGBColor.java-2.0.26,0,3,0,8,0
org.apache.pdfbox.contentstream.operator.graphics.AppendRectangleToPath,org/apache/pdfbox/contentstream/operator/graphics/AppendRectangleToPath.java-2.0.26,0,2,0,23,0
org.apache.pdfbox.contentstream.operator.graphics.BeginInlineImage,org/apache/pdfbox/contentstream/operator/graphics/BeginInlineImage.java-2.0.26,0,2,0,12,0
org.apache.pdfbox.contentstream.operator.graphics.ClipEvenOddRule,org/apache/pdfbox/contentstream/operator/graphics/ClipEvenOddRule.java-2.0.26,0,2,0,7,0
org.apache.pdfbox.contentstream.operator.graphics.ClipNonZeroRule,org/apache/pdfbox/contentstream/operator/graphics/ClipNonZeroRule.java-2.0.26,0,2,0,7,0
org.apache.pdfbox.contentstream.operator.graphics.CloseAndStrokePath,org/apache/pdfbox/contentstream/operator/graphics/CloseAndStrokePath.java-2.0.26,0,2,0,8,0
org.apache.pdfbox.contentstream.operator.graphics.CloseFillEvenOddAndStrokePath,org/apache/pdfbox/contentstream/operator/graphics/CloseFillEvenOddAndStrokePath.java-2.0.26,0,2,0,8,0
org.apache.pdfbox.contentstream.operator.graphics.CloseFillNonZeroAndStrokePath,org/apache/pdfbox/contentstream/operator/graphics/CloseFillNonZeroAndStrokePath.java-2.0.26,0,2,0,8,0
org.apache.pdfbox.contentstream.operator.graphics.ClosePath,org/apache/pdfbox/contentstream/operator/graphics/ClosePath.java-2.0.26,1,2,0,11,0
org.apache.pdfbox.contentstream.operator.graphics.CurveTo,org/apache/pdfbox/contentstream/operator/graphics/CurveTo.java-2.0.26,1,2,0,27,0
org.apache.pdfbox.contentstream.operator.graphics.CurveToReplicateFinalPoint,org/apache/pdfbox/contentstream/operator/graphics/CurveToReplicateFinalPoint.java-2.0.26,0,2,0,19,0
org.apache.pdfbox.contentstream.operator.graphics.CurveToReplicateInitialPoint,org/apache/pdfbox/contentstream/operator/graphics/CurveToReplicateInitialPoint.java-2.0.26,1,2,0,25,0
org.apache.pdfbox.contentstream.operator.graphics.DrawObject,org/apache/pdfbox/contentstream/operator/graphics/DrawObject.java-2.0.26,1,2,0,31,0
org.apache.pdfbox.contentstream.operator.graphics.EndPath,org/apache/pdfbox/contentstream/operator/graphics/EndPath.java-2.0.26,0,2,0,7,0
org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddAndStrokePath,org/apache/pdfbox/contentstream/operator/graphics/FillEvenOddAndStrokePath.java-2.0.26,0,2,0,7,0
org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddRule,org/apache/pdfbox/contentstream/operator/graphics/FillEvenOddRule.java-2.0.26,0,2,0,7,0
org.apache.pdfbox.contentstream.operator.graphics.FillNonZeroAndStrokePath,org/apache/pdfbox/contentstream/operator/graphics/FillNonZeroAndStrokePath.java-2.0.26,0,2,0,7,0
org.apache.pdfbox.contentstream.operator.graphics.FillNonZeroRule,org/apache/pdfbox/contentstream/operator/graphics/FillNonZeroRule.java-2.0.26,0,2,0,7,0
org.apache.pdfbox.contentstream.operator.graphics.GraphicsOperatorProcessor,org/apache/pdfbox/contentstream/operator/graphics/GraphicsOperatorProcessor.java-2.0.26,2,1,1,6,0
org.apache.pdfbox.contentstream.operator.graphics.LegacyFillNonZeroRule,org/apache/pdfbox/contentstream/operator/graphics/LegacyFillNonZeroRule.java-2.0.26,0,3,0,4,0
org.apache.pdfbox.contentstream.operator.graphics.LineTo,org/apache/pdfbox/contentstream/operator/graphics/LineTo.java-2.0.26,1,2,0,23,0
org.apache.pdfbox.contentstream.operator.graphics.MoveTo,org/apache/pdfbox/contentstream/operator/graphics/MoveTo.java-2.0.26,0,2,0,18,0
org.apache.pdfbox.contentstream.operator.graphics.ShadingFill,org/apache/pdfbox/contentstream/operator/graphics/ShadingFill.java-2.0.26,0,2,0,9,0
org.apache.pdfbox.contentstream.operator.graphics.StrokePath,org/apache/pdfbox/contentstream/operator/graphics/StrokePath.java-2.0.26,0,2,0,7,0
