Path,CBO,DIT,WMC,LOC,LCOM,Buggy
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/EmptyGraphicsStackException.java-2.0.26,0,0,1,4,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/Restore.java-2.0.26,0,1,0,10,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/Save.java-2.0.26,0,1,0,7,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/SetFlatness.java-2.0.26,0,1,0,12,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/SetGraphicsStateParameters.java-2.0.26,1,1,0,18,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/SetLineCapStyle.java-2.0.26,0,1,0,10,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/SetLineDashPattern.java-2.0.26,1,1,0,27,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/SetLineJoinStyle.java-2.0.26,0,1,0,10,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/SetLineMiterLimit.java-2.0.26,0,1,0,10,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/SetLineWidth.java-2.0.26,0,1,0,10,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/SetMatrix.java-2.0.26,0,1,0,20,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/state/SetRenderingIntent.java-2.0.26,0,1,0,13,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/text/BeginText.java-2.0.26,0,1,0,9,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/text/EndText.java-2.0.26,0,1,0,9,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/text/MoveText.java-2.0.26,1,1,0,24,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/text/MoveTextSetLeading.java-2.0.26,0,1,0,16,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/text/NextLine.java-2.0.26,0,1,0,10,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/text/SetCharSpacing.java-2.0.26,0,1,0,12,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/text/SetFontAndSize.java-2.0.26,1,1,0,22,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/text/SetTextHorizontalScaling.java-2.0.26,0,1,0,13,0.0,No
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/text/SetTextLeading.java-2.0.26,0,1,0,13,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/text/SetTextRenderingMode.java-2.0.26,0,1,0,17,0.0,Yes
pdfbox/src/main/java/org/apache/pdfbox/contentstream/operator/text/SetTextRise.java-2.0.26,0,1,0,13,0.0,Yes
